Date,nom_ar,nom_fr,unite,valeur
2026-01-05 10:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,310.0
2026-01-05 10:00:00,Point de Rosée,Point de Rosée,°C,5.5
2026-01-05 10:00:00,Température,Température,°C,17.0
2026-01-05 10:00:00,Direction du vent,Direction du vent,Deg,234.7
2026-01-05 10:00:00,Vitesse du vent,Vitesse du vent,m/s,0.81
2026-01-05 09:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,182.0
2026-01-05 09:00:00,Humidité relative,Humidité relative,%,51.3
2026-01-05 09:00:00,Température,Température,°C,14.4
2026-01-05 09:00:00,Direction du vent,Direction du vent,Deg,206.3
2026-01-05 09:00:00,Point de Rosée,Point de Rosée,°C,4.5
2026-01-05 09:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 09:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1002.3
2026-01-05 09:00:00,Vitesse du vent,Vitesse du vent,m/s,3.12
2026-01-05 08:00:00,Humidité relative,Humidité relative,%,53.2
2026-01-05 08:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 08:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.7
2026-01-05 08:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,32.0
2026-01-05 08:00:00,Point de Rosée,Point de Rosée,°C,3.8
2026-01-05 08:00:00,Température,Température,°C,13.1
2026-01-05 08:00:00,Direction du vent,Direction du vent,Deg,224.5
2026-01-05 08:00:00,Vitesse du vent,Vitesse du vent,m/s,0.87
2026-01-05 07:00:00,Humidité relative,Humidité relative,%,52.8
2026-01-05 07:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 07:00:00,Direction du vent,Direction du vent,Deg,246.1
2026-01-05 07:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.3
2026-01-05 07:00:00,Température,Température,°C,12.7
2026-01-05 07:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 07:00:00,Vitesse du vent,Vitesse du vent,m/s,1.49
2026-01-05 07:00:00,Point de Rosée,Point de Rosée,°C,3.3
2026-01-05 06:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 06:00:00,Direction du vent,Direction du vent,Deg,214.5
2026-01-05 06:00:00,Point de Rosée,Point de Rosée,°C,3.1
2026-01-05 06:00:00,Température,Température,°C,12.4
2026-01-05 06:00:00,Humidité relative,Humidité relative,%,53.1
2026-01-05 06:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.9
2026-01-05 06:00:00,Vitesse du vent,Vitesse du vent,m/s,1.92
2026-01-05 06:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 05:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.4
2026-01-05 05:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 05:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 05:00:00,Point de Rosée,Point de Rosée,°C,3.3
2026-01-05 05:00:00,Humidité relative,Humidité relative,%,53.2
2026-01-05 05:00:00,Température,Température,°C,12.6
2026-01-05 05:00:00,Direction du vent,Direction du vent,Deg,191.6
2026-01-05 05:00:00,Vitesse du vent,Vitesse du vent,m/s,1.71
2026-01-05 04:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 04:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.5
2026-01-05 04:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 04:00:00,Point de Rosée,Point de Rosée,°C,4.3
2026-01-05 04:00:00,Humidité relative,Humidité relative,%,57.6
2026-01-05 04:00:00,Température,Température,°C,12.5
2026-01-05 04:00:00,Direction du vent,Direction du vent,Deg,7.7
2026-01-05 04:00:00,Vitesse du vent,Vitesse du vent,m/s,1.19
2026-01-05 03:00:00,Vitesse du vent,Vitesse du vent,m/s,0.56
2026-01-05 03:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 03:00:00,Humidité relative,Humidité relative,%,67.5
2026-01-05 03:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1000.7
2026-01-05 03:00:00,Direction du vent,Direction du vent,Deg,297.8
2026-01-05 03:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,2.0
2026-01-05 03:00:00,Température,Température,°C,11.3
2026-01-05 03:00:00,Point de Rosée,Point de Rosée,°C,5.5
2026-01-05 02:00:00,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,2.36
2026-01-05 02:00:00,Pression atmosphérique,Pression atmosphérique,mm/j,1001.1
2026-01-05 02:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2026-01-05 02:00:00,Point de Rosée,Point de Rosée,°C,7.1
2026-01-05 02:00:00,Humidité relative,Humidité relative,%,72.9
2026-01-05 02:00:00,Température,Température,°C,11.8
2026-01-05 02:00:00,Vitesse du vent,Vitesse du vent,m/s,0.33
2026-01-05 02:00:00,Direction du vent,Direction du vent,Deg,351.0
2026-01-05 01:00:00,Température,Température,°C,13.0
