Date,nom_ar,nom_fr,unite,valeur
2025-12-17 01:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1011.7
2025-12-17 01:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-17 01:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-17 01:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-12-17 01:00:02,Point de Rosée,Point de Rosée,°C,9.6
2025-12-17 01:00:02,Humidité relative,Humidité relative,%,82.1
2025-12-17 01:00:02,Température,Température,°C,12.6
2025-12-17 01:00:02,Direction du vent,Direction du vent,Deg,198.9
2025-12-17 01:00:02,Vitesse du vent,Vitesse du vent,m/s,1.61
2025-12-16 23:00:02,Direction du vent,Direction du vent,Deg,171.4
2025-12-16 23:00:02,Vitesse du vent,Vitesse du vent,m/s,0.82
2025-12-16 23:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 23:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 23:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1011.3
2025-12-16 23:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 23:00:02,Point de Rosée,Point de Rosée,°C,10.2
2025-12-16 23:00:02,Humidité relative,Humidité relative,%,88.3
2025-12-16 23:00:02,Température,Température,°C,12.1
2025-12-16 21:00:02,Température,Température,°C,13.6
2025-12-16 21:00:02,Vitesse du vent,Vitesse du vent,m/s,0.86
2025-12-16 21:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 21:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 21:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1010.4
2025-12-16 21:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 21:00:02,Point de Rosée,Point de Rosée,°C,10.4
2025-12-16 21:00:02,Humidité relative,Humidité relative,%,81.2
2025-12-16 21:00:02,Direction du vent,Direction du vent,Deg,266.3
2025-12-16 19:00:02,Direction du vent,Direction du vent,Deg,287.0
2025-12-16 19:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 19:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 19:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.8
2025-12-16 19:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,1.0
2025-12-16 19:00:02,Point de Rosée,Point de Rosée,°C,10.0
2025-12-16 19:00:02,Humidité relative,Humidité relative,%,77.3
2025-12-16 19:00:02,Température,Température,°C,13.9
2025-12-16 19:00:02,Vitesse du vent,Vitesse du vent,m/s,2.01
2025-12-16 17:00:02,Direction du vent,Direction du vent,Deg,289.5
2025-12-16 17:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 17:00:02,Vitesse du vent,Vitesse du vent,m/s,1.69
2025-12-16 17:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 17:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1008.7
2025-12-16 17:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,4.0
2025-12-16 17:00:02,Point de Rosée,Point de Rosée,°C,10.7
2025-12-16 17:00:02,Humidité relative,Humidité relative,%,69.5
2025-12-16 17:00:02,Température,Température,°C,16.3
2025-12-16 15:00:02,Humidité relative,Humidité relative,%,41.7
2025-12-16 15:00:02,Température,Température,°C,22.3
2025-12-16 15:00:02,Vitesse du vent,Vitesse du vent,m/s,0.62
2025-12-16 15:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 15:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 15:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1007.8
2025-12-16 15:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,232.0
2025-12-16 15:00:02,Point de Rosée,Point de Rosée,°C,8.7
2025-12-16 15:00:02,Direction du vent,Direction du vent,Deg,117.2
2025-12-16 13:00:02,Direction du vent,Direction du vent,Deg,294.5
2025-12-16 13:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 13:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 13:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1008.2
2025-12-16 13:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,430.0
2025-12-16 13:00:02,Point de Rosée,Point de Rosée,°C,11.1
2025-12-16 13:00:02,Humidité relative,Humidité relative,%,52.3
2025-12-16 13:00:02,Température,Température,°C,21.3
2025-12-16 13:00:02,Vitesse du vent,Vitesse du vent,m/s,2.37
2025-12-16 11:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 11:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.6
2025-12-16 11:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,369.0
2025-12-16 11:00:02,Point de Rosée,Point de Rosée,°C,11.9
2025-12-16 11:00:02,Humidité relative,Humidité relative,%,70.4
2025-12-16 11:00:02,Température,Température,°C,17.3
2025-12-16 11:00:02,Direction du vent,Direction du vent,Deg,171.6
2025-12-16 11:00:02,Vitesse du vent,Vitesse du vent,m/s,1.68
2025-12-16 11:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 10:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.7
2025-12-16 10:00:02,Point de Rosée,Point de Rosée,°C,13.9
2025-12-16 10:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,137.0
2025-12-16 10:00:02,Humidité relative,Humidité relative,%,96.3
2025-12-16 10:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 10:00:02,Température,Température,°C,14.5
2025-12-16 10:00:02,Direction du vent,Direction du vent,Deg,227.8
2025-12-16 10:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 10:00:02,Vitesse du vent,Vitesse du vent,m/s,1.11
2025-12-16 09:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 09:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 09:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.3
2025-12-16 09:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,17.0
2025-12-16 09:00:02,Point de Rosée,Point de Rosée,°C,14.1
2025-12-16 09:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-16 09:00:02,Température,Température,°C,14.1
2025-12-16 09:00:02,Direction du vent,Direction du vent,Deg,171.9
2025-12-16 09:00:02,Vitesse du vent,Vitesse du vent,m/s,0.38
2025-12-16 07:00:02,Direction du vent,Direction du vent,Deg,310.3
2025-12-16 07:00:02,Vitesse du vent,Vitesse du vent,m/s,1.71
2025-12-16 07:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 07:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 07:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.0
2025-12-16 07:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 07:00:02,Point de Rosée,Point de Rosée,°C,14.0
2025-12-16 07:00:02,Humidité relative,Humidité relative,%,99.1
2025-12-16 07:00:02,Température,Température,°C,14.2
2025-12-16 05:00:02,Température,Température,°C,14.9
2025-12-16 05:00:02,Vitesse du vent,Vitesse du vent,m/s,0.26
2025-12-16 05:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 05:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 05:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1009.2
2025-12-16 05:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 05:00:02,Point de Rosée,Point de Rosée,°C,14.9
2025-12-16 05:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-16 05:00:02,Direction du vent,Direction du vent,Deg,20.5
2025-12-16 03:00:02,Point de Rosée,Point de Rosée,°C,14.8
2025-12-16 03:00:02,Humidité relative,Humidité relative,%,100.0
2025-12-16 03:00:02,Vitesse du vent,Vitesse du vent,m/s,0.84
2025-12-16 03:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 03:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 03:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1010.2
2025-12-16 03:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 03:00:02,Direction du vent,Direction du vent,Deg,225.9
2025-12-16 03:00:02,Température,Température,°C,14.8
2025-12-16 02:00:02,Rayonnement solaire,Rayonnement solaire,W/m²,0.0
2025-12-16 02:00:02,Évapotranspiration journalière,Évapotranspiration journalière,mm/j,0.0
2025-12-16 02:00:02,Évapotranspiration Horaire,Évapotranspiration Horaire,mm/h,0.0
2025-12-16 02:00:02,Pression atmosphérique,Pression atmosphérique,mm/j,1010.9
2025-12-16 02:00:02,Point de Rosée,Point de Rosée,°C,15.0
2025-12-16 02:00:02,Humidité relative,Humidité relative,%,98.2
2025-12-16 02:00:02,Température,Température,°C,15.3
2025-12-16 02:00:02,Direction du vent,Direction du vent,Deg,238.4
