Date,nom_ar,nom_fr,unite,valeur
2025-12-18 00:00:00,Température,Température,°c,11.3
2025-12-18 00:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,954.0
2025-12-18 00:00:00,Point de Rosée,Point de Rosée,°c,9.1
2025-12-18 00:00:00,Vitesse du vent,Vitesse du vent,m/s,0.95
2025-12-18 00:00:00,Humidité relative,Humidité relative,%,86.7
2025-12-18 00:00:00,Direction du vent,Direction du vent,Deg,106.8
2025-12-17 23:00:00,Vitesse du vent,Vitesse du vent,m/s,0.74
2025-12-17 23:00:00,Point de Rosée,Point de Rosée,°c,9.2
2025-12-17 23:00:00,Humidité relative,Humidité relative,%,86.0
2025-12-17 23:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.6
2025-12-17 23:00:00,Température,Température,°c,11.5
2025-12-17 23:00:00,Direction du vent,Direction du vent,Deg,110.8
2025-12-17 22:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.3
2025-12-17 22:00:00,Point de Rosée,Point de Rosée,°c,8.1
2025-12-17 22:00:00,Humidité relative,Humidité relative,%,82.1
2025-12-17 22:00:00,Température,Température,°c,11.1
2025-12-17 22:00:00,Direction du vent,Direction du vent,Deg,126.1
2025-12-17 22:00:00,Vitesse du vent,Vitesse du vent,m/s,0.8
2025-12-17 21:00:00,Point de Rosée,Point de Rosée,°c,8.2
2025-12-17 21:00:00,Humidité relative,Humidité relative,%,83.1
2025-12-17 21:00:00,Température,Température,°c,11.0
2025-12-17 21:00:00,Direction du vent,Direction du vent,Deg,100.9
2025-12-17 21:00:00,Vitesse du vent,Vitesse du vent,m/s,0.6
2025-12-17 21:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,953.1
2025-12-17 20:00:00,Vitesse du vent,Vitesse du vent,m/s,1.43
2025-12-17 20:00:00,Point de Rosée,Point de Rosée,°c,8.6
2025-12-17 20:00:00,Direction du vent,Direction du vent,Deg,122.1
2025-12-17 20:00:00,Humidité relative,Humidité relative,%,82.0
2025-12-17 20:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.7
2025-12-17 20:00:00,Température,Température,°c,11.6
2025-12-17 19:00:00,Point de Rosée,Point de Rosée,°c,8.9
2025-12-17 19:00:00,Humidité relative,Humidité relative,%,77.4
2025-12-17 19:00:00,Température,Température,°c,12.7
2025-12-17 19:00:00,Direction du vent,Direction du vent,Deg,133.1
2025-12-17 19:00:00,Vitesse du vent,Vitesse du vent,m/s,1.67
2025-12-17 19:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,952.4
2025-12-17 18:00:00,Vitesse du vent,Vitesse du vent,m/s,4.84
2025-12-17 18:00:00,Point de Rosée,Point de Rosée,°c,8.0
2025-12-17 18:00:00,Direction du vent,Direction du vent,Deg,161.6
2025-12-17 18:00:00,Humidité relative,Humidité relative,%,67.8
2025-12-17 18:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,951.8
2025-12-17 18:00:00,Température,Température,°c,13.9
2025-12-17 17:00:00,Point de Rosée,Point de Rosée,°c,8.0
2025-12-17 17:00:00,Humidité relative,Humidité relative,%,66.1
2025-12-17 17:00:00,Température,Température,°c,14.3
2025-12-17 17:00:00,Direction du vent,Direction du vent,Deg,124.9
2025-12-17 17:00:00,Vitesse du vent,Vitesse du vent,m/s,4.42
2025-12-17 17:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,951.7
2025-12-17 16:00:00,Point de Rosée,Point de Rosée,°c,6.7
2025-12-17 16:00:00,Direction du vent,Direction du vent,Deg,152.5
2025-12-17 16:00:00,Humidité relative,Humidité relative,%,56.5
2025-12-17 16:00:00,Température,Température,°c,15.3
2025-12-17 16:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,951.1
2025-12-17 16:00:00,Vitesse du vent,Vitesse du vent,m/s,6.24
2025-12-17 15:00:00,Point de Rosée,Point de Rosée,°c,6.7
2025-12-17 15:00:00,Vitesse du vent,Vitesse du vent,m/s,5.29
2025-12-17 15:00:00,Rayonnement solaire,Rayonnement solaire,W/m²,950.5
2025-12-17 15:00:00,Direction du vent,Direction du vent,Deg,130.0
2025-12-17 15:00:00,Humidité relative,Humidité relative,%,53.6
2025-12-17 15:00:00,Température,Température,°c,16.1
2025-12-17 14:00:00,Vitesse du vent,Vitesse du vent,m/s,2.77
2025-12-17 14:00:00,Point de Rosée,Point de Rosée,°c,3.1
